Timestamp,Sensor Type,Value1,Value2,Value3
1777292105482,1,4.3035,-19.2509,-2.0877
1777292105493,9,-2.3144,-9.0885,2.8659
1777292105507,4,0.2027,1.5198,0.4137
1777292105535,2,-28.1250,38.1750,-5.2500
1777292105549,1,5.0596,-13.2171,-5.2744
1777292105549,1,2.3037,-9.1205,0.3000
1777292105549,1,1.2562,-11.6234,1.6642
1777292105561,9,-2.1248,-9.2672,2.4031
1777292105577,4,-1.2211,-0.0535,-0.1103
1777292105603,2,-27.9750,38.7000,-3.4500
1777292105615,1,0.8166,-15.3072,-0.7639
1777292105615,1,-0.3332,-21.7397,-2.5860
1777292105615,1,0.4714,-21.0425,-3.4813
1777292105615,1,-0.4373,-13.0744,-3.7819
1777292105629,9,-1.4959,-9.6848,0.3695
1777292105629,5,78.6500,192.9500,1893.0000
1777292105646,4,-4.0668,-1.8592,-1.3047
1777292105672,2,-30.9000,36.6000,9.1500
1777292105683,1,-2.0647,-11.2941,-1.3301
1777292105683,1,-3.2764,-12.8213,4.6184
1777292105683,1,-4.5688,-15.3033,6.1038
1777292105699,9,-1.3063,-9.6567,-1.1006
1777292105719,4,-2.5719,-0.9485,-0.6077
1777292105742,2,-31.3500,31.8750,20.9250
1777292105749,1,-7.1369,-15.5542,4.6807
1777292105749,1,-5.0728,-14.9025,2.1751
1777292105749,1,-5.2187,-14.2062,0.1783
1777292105769,9,-1.3518,-9.4361,-2.3028
1777292105790,5,64.8900,180.4750,1565.0000
1777292105794,4,-1.9462,1.8515,-0.2665
1777292105811,2,-32.5500,28.0500,19.2750
1777292105814,1,-6.5010,-13.3011,-0.5318
1777292105814,1,-5.2068,-11.8534,0.0876
1777292105814,1,-3.1669,-10.1330,1.1174
1777292105814,1,-1.8093,-9.4134,2.5860
1777292105838,9,-0.7795,-9.3293,-2.9201
1777292105867,4,-1.1041,0.5056,-0.8322
1777292105886,2,-37.2000,24.9750,21.3750
1777292105886,1,-0.2749,-7.9845,3.7394
1777292105886,1,1.2637,-6.4214,3.0464
1777292105886,1,0.8186,-4.9804,3.3162
1777292105906,9,-0.3287,-9.2415,-3.2645
1777292105930,1,-0.1819,-3.3386,2.5328
1777292105930,1,-2.0719,-2.9139,1.7192
1777292105934,4,-1.0276,-1.3381,-0.7756
1777292105957,1,-2.9166,-2.1419,1.9334
1777292105957,5,64.0000,168.1125,1425.0000
1777292105957,2,-34.6500,20.4000,19.2000
1777292105978,9,-0.5125,-9.0375,-3.7723
1777292106007,4,-1.5018,-0.7440,-0.2845
1777292106017,1,-2.0420,-1.5278,1.0460
1777292106017,1,-0.2429,-1.6478,-2.2642
1777292106017,1,0.9888,-2.7401,-6.3682
1777292106017,1,1.9612,-5.0444,-10.5359
1777292106020,2,-32.2500,18.3000,21.1500
1777292106045,9,0.1121,-8.4964,-4.8958
1777292106075,4,1.0386,0.0153,-0.1042
1777292106094,1,0.4137,-8.1526,-10.7049
1777292106095,1,1.2601,-11.5023,-6.4783
1777292106095,1,1.7593,-13.4563,-5.7553
1777292106095,2,-35.4750,15.0750,22.2000
1777292106112,5,64.0000,139.3625,843.0000
1777292106115,9,-0.3762,-8.6921,-4.5250
1777292106141,4,0.0281,-1.4508,-0.0486
1777292106149,1,0.9326,-11.7718,-5.3007
1777292106149,1,-0.3278,-9.4642,-4.5464
1777292106149,1,-0.9117,-5.1105,-7.5386
1777292106158,2,-30.2250,16.3500,28.0500
1777292106185,9,-1.5295,-8.8174,-4.0104
1777292106210,4,2.2199,0.3888,3.2443
1777292106219,1,-0.2596,-1.2882,-0.6365
1777292106219,1,-5.1368,-0.8997,-2.7541
1777292106219,1,-29.4437,-6.4657,0.4717
1777292106219,1,-17.8310,-25.7184,-3.2949
1777292106228,2,-28.2000,21.7500,23.4000
1777292106255,9,-1.9058,-9.3782,-2.1420
1777292106281,4,1.9904,2.1921,0.5414
1777292106281,1,2.6091,-20.2962,1.4151
1777292106281,1,4.6175,-9.4190,3.5007
1777292106281,1,4.8437,-10.1997,4.8365
1777292106298,2,-31.8750,27.0000,12.0750
1777292106323,9,-1.7618,-9.5891,-1.0566
1777292106350,1,2.0988,-11.2654,2.5499
1777292106350,1,1.2365,-10.8835,1.8939
1777292106350,1,0.9523,-11.5113,2.9085
1777292106350,4,1.0030,0.4163,1.6189
1777292106368,2,-30.9750,31.5750,7.6500
1777292106402,9,-1.9615,-9.6065,0.1939
1777292106417,1,1.7372,-11.6970,2.8902
1777292106417,1,2.9943,-12.3532,2.9237
1777292106417,1,4.3472,-12.0407,1.9798
1777292106417,1,2.0390,-10.3594,0.1678
1777292106424,4,2.0962,-1.6376,-0.9609
1777292106430,5,64.0000,13.5750,-1962.0000
1777292106438,2,-28.6500,33.7500,9.0750
1777292106483,9,-1.6102,-9.5257,1.6849
1777292106483,1,-0.8444,-7.6594,-0.5438
1777292106483,1,-4.6516,-6.6153,-0.4331
1777292106483,1,-9.1848,-6.2115,-2.6871
1777292106491,4,2.2184,0.1210,1.0119
1777292106582,1,-6.2952,-6.8560,-4.3358
1777292106582,1,-1.0331,-9.2414,-0.8474
1777292106582,2,-29.8500,35.0250,0.8250
1777292106582,9,-2.3073,-9.2118,2.4474
1777292106582,1,1.2075,-9.9278,3.7711
1777292106582,4,1.6950,0.9852,0.9308
1777292106584,2,-28.0500,36.6000,-2.2500
1777292106617,5,1.7200,2.4750,-75.0000
1777292106645,9,-2.7651,-8.8711,3.1351
1777292106645,1,2.4048,-9.4944,6.1472
1777292106648,1,1.1091,-7.9002,4.1620
1777292106648,1,-7.0508,-5.6420,-2.1775
1777292106648,1,-10.8739,-9.7621,-6.1828
1777292106648,4,0.9106,0.4829,0.8352
1777292106663,2,-25.6500,37.8000,-5.1000
1777292106664,1,-4.3466,-15.0236,-3.5145
1777292106664,1,-0.9511,-15.1361,0.7825
1777292106684,9,-3.0847,-8.8625,2.8480
1777292106704,4,0.4126,0.7404,0.4473
1777292106821,2,-24.9000,38.6250,-8.4750
1777292106822,1,-0.6607,-10.5616,1.1450
1777292106822,1,0.7155,-11.7278,0.9535
1777292106822,1,1.1058,-14.3952,0.1881
1777292106823,1,1.3627,-15.8599,0.1214
